genea1	dNa1	dNa1se	dSa1	dSa1se	dNdSa1	chr	chrom	DE	a1expmean	haploid
MvSl-1064-A1-R4_MC01-1g02164	0.00911	0.0053	0.00009	0.00078	101.11	aAutosome	aAutosome	NON	5.59494	A1
MvSl-1064-A1-R4_MC01-1g02167	0.01263	0.00733	0.00013	0.00058	97.0792	aAutosome	aAutosome	NON	7.70363	A1
MvSl-1064-A1-R4_MC01-1g02183	0.00407	0.00289	0.01152	0.00819	0.353296	aAutosome	aAutosome	NON	4.29337	A1
MvSl-1064-A1-R4_MC01-1g02189	0.00203	0.00204	0.02169	0.01261	0.0935911	aAutosome	aAutosome	NON	3.03399	A1
MvSl-1064-A1-R4_MC01-1g02191	0.00523	0.00166	0.00574	0.00257	0.911134	aAutosome	aAutosome	NON	6.55074	A1
MvSl-1064-A1-R4_MC01-1g02192	0.00388	0.00389	0.00932	0.00934	0.416305	aAutosome	aAutosome	NON	5.47242	A1
MvSl-1064-A1-R4_MC01-1g02195	0.0068	0.00258	0.00851	0.00382	0.799051	aAutosome	aAutosome	NON	6.09915	A1
MvSl-1064-A1-R4_MC01-1g02196	0.0049	0.00174	0.01018	0.00386	0.481331	aAutosome	aAutosome	NON	9.3602	A1
MvSl-1064-A1-R4_MC01-1g02198	0.0079	0.0056	0.00008	0.00039	98.6267	aAutosome	aAutosome	NON	8.46349	A1
MvSl-1064-A1-R4_MC01-1g02203	0.00161	0.00088	0.00756	0.0045	0.21296	aAutosome	aAutosome	NON	7.15242	A1
MvSl-1064-A1-R4_MC01-1g02209	0.00511	0.00295	0.0086	0.00608	0.594179	aAutosome	aAutosome	NON	6.73156	A1
MvSl-1064-A1-R4_MC01-1g02210	0	0	0.00373	0	0	aAutosome	aAutosome	NON	6.49095	A1
MvSl-1064-A1-R4_MC01-1g02216	0.00546	0.00387	0.00006	0	90.8486	aAutosome	aAutosome	NON	8.00316	A1
MvSl-1064-A1-R4_MC01-1g02220	0.00316	0.00158	0.00922	0.00414	0.342729	aAutosome	aAutosome	NON	6.79609	A1
MvSl-1064-A1-R4_MC01-1g02224	0.00873	0.00291	0.00611	0.0035	1.42878	aAutosome	aAutosome	NON	6.18856	A1
MvSl-1064-A1-R4_MC01-1g02227	0.00681	0.00485	0.00912	0.0092	0.746702	aAutosome	aAutosome	NON	6.8344	A1
MvSl-1064-A1-R4_MC01-1g02231	0.00382	0.00383	0.00004	0	95.2618	aAutosome	aAutosome	NON	5.89225	A1
MvSl-1064-A1-R4_MC01-1g02233	0	0.00004	0.00002	0	0	aAutosome	aAutosome	NON	5.60139	A1
MvSl-1064-A1-R4_MC01-1g02234	0.0044	0.00147	0.01183	0.00377	0.371933	aAutosome	aAutosome	NON	6.04423	A1
MvSl-1064-A1-R4_MC01-1g02236	0.01072	0.00408	0.00307	0.00309	3.49174	aAutosome	aAutosome	NON	7.17309	A1
MvSl-1064-A1-R4_MC01-1g02241	0.00494	0.00284	0.00715	0.00504	0.690899	aAutosome	aAutosome	NON	4.89958	A1
MvSl-1064-A1-R4_MC01-1g02244	0.00662	0.00471	0.00807	0.00814	0.820312	aAutosome	aAutosome	NON	7.66513	A1
MvSl-1064-A1-R4_MC01-1g02245	0.00368	0.00369	0.01089	0.01091	0.337922	aAutosome	aAutosome	NON	6.8629	A1
MvSl-1064-A1-R4_MC01-1g02248	0.00872	0.00505	0.00766	0.00764	1.13837	aAutosome	aAutosome	NON	7.99486	A1
MvSl-1064-A1-R4_MC01-1g02250	0.00322	0.00132	0.00732	0.00301	0.439885	aAutosome	aAutosome	NON	4.43698	A1
MvSl-1064-A1-R4_MC01-1g02252	0.00651	0.00462	0.00007	0.00066	92.8673	aAutosome	aAutosome	NON	0.648229	A1
MvSl-1064-A1-R4_MC01-1g02254	0.00875	0.0062	0.02098	0.01492	0.417062	aAutosome	aAutosome	NON	4.12409	A1
MvSl-1064-A1-R4_MC01-1g02255	0.00001	0	0.00777	0	0.00128698	aAutosome	aAutosome	NON	4.21105	A1
MvSl-1064-A1-R4_MC01-1g02257	0.00344	0.00243	0.00795	0.00563	0.432699	aAutosome	aAutosome	NON	6.75954	A1
